"sample_number","unknown_ratios","unknown_counts","total_counts","iteration"
35,0.881239550021915,108574,123206,95
35,0.881635892107696,107765,122233,96
35,0.874282524119402,100226,114638,97
35,0.878638853481242,102017,116108,98
35,0.884656686754712,110391,124784,99
35,0.881821159515231,107688,122120,100
40,0.878488599792259,103182,117454,1
40,0.887125126915092,117081,131978,2
40,0.880376076872101,106279,120720,3
40,0.881946039977681,107481,121868,4
40,0.882106075589108,109719,124383,5
40,0.884775632223591,112762,127447,6
40,0.886492604421843,114354,128996,7
40,0.883424686158841,109921,124426,8
40,0.887834339948231,115248,129808,9
40,0.880547112462006,107189,121730,10
40,0.8881191834284,118333,133240,11
40,0.879060461501575,106325,120953,12
40,0.883510075929901,110308,124852,13
40,0.890552536436136,118480,133041,14
40,0.884070051632326,109241,123566,15
40,0.87854973361438,105867,120502,16
40,0.881056837641686,108044,122630,17
40,0.874992365346526,100282,114609,18
40,0.884977095650131,113016,127705,19
40,0.880790461291551,108664,123371,20
40,0.88590635799839,112278,126738,21
40,0.883831614430756,110121,124595,22
40,0.886484911678116,115626,130432,23
40,0.883829881844747,111306,125936,24
40,0.877089269765662,103115,117565,25
40,0.875721283754336,100468,114726,26
40,0.88694618910202,109725,123711,27
40,0.884082010223367,110863,125399,28
40,0.878414774913428,105018,119554,29
40,0.881063459511573,107836,122393,30
40,0.87986662824682,106873,121465,31
40,0.882904500566233,111487,126273,32
40,0.887432319072676,116369,131130,33
40,0.876088620048828,96170,109772,34
40,0.875625816520679,99866,114051,35
40,0.878377136171813,105111,119665,36
40,0.884548821838855,112956,127699,37
40,0.881837181611531,105906,120097,38
40,0.881216980900977,107920,122467,39
40,0.886530071072877,115006,129726,40
40,0.880996539570136,109729,124551,41
40,0.885089606860697,112702,127334,42
40,0.88377611717467,112472,127263,43
40,0.880155971443224,108121,122843,44
40,0.882349595345663,108589,123068,45
40,0.881497419636646,108976,123626,46
40,0.877146842335227,104391,119012,47
40,0.884942971122544,113355,128093,48
40,0.887037389945497,116366,131185,49
40,0.882742592457628,109009,123489,50
40,0.883565131599885,111050,125684,51
40,0.883769575210963,111119,125733,52
40,0.884669589727529,112990,127720,53
