EC,all_ref_clu,know_ref_clu,new_ref_clu,new_clu_pro,all_clu_member,know_clu_member,new_clu_member,new_member_pro,sample_number,EC_1
1.1.1.370,2,0,2,100,2262,0,2262,100,289,1
1.1.1.372,2,0,2,100,179,0,179,100,113,1
1.1.1.374,3,0,3,100,293,0,293,100,93,1
1.1.1.38,1,1,0,0,586,586,0,0,223,1
1.1.1.382,3,1,2,66.66666667,3316,2843,473,14.2641737,285,1
1.1.1.384,2,0,2,100,480,0,480,100,163,1
1.1.1.386,2,0,2,100,896,0,896,100,255,1
1.1.1.390,1,0,1,100,2549,0,2549,100,317,1
1.1.1.391,1,0,1,100,31,0,31,100,26,1
1.1.1.392,5,0,5,100,400,0,400,100,146,1
1.1.1.394,5,0,5,100,1422,0,1422,100,251,1
1.1.1.395,1,0,1,100,99,0,99,100,69,1
1.1.1.399,22,0,22,100,24343,0,24343,100,340,1
1.1.1.4,14,1,13,92.85714286,533,10,523,98.12382739,207,1
1.1.1.40,12,5,7,58.33333333,13091,10705,2386,18.22626232,328,1
1.1.1.400,2,0,2,100,220,0,220,100,113,1
1.1.1.401,2,0,2,100,69,0,69,100,33,1
1.1.1.402,3,2,1,33.33333333,2427,1935,492,20.27194067,307,1
1.1.1.405,1,0,1,100,209,0,209,100,121,1
1.1.1.407,2,0,2,100,634,0,634,100,205,1
1.1.1.408,8,1,7,87.5,9743,35,9708,99.64076773,321,1
1.1.1.41,52,2,50,96.15384615,6022,3015,3007,49.93357688,324,1
1.1.1.411,1,0,1,100,1496,0,1496,100,269,1
1.1.1.412,3,1,2,66.66666667,1347,1250,97,7.201187825,262,1
1.1.1.413,5,0,5,100,820,0,820,100,189,1
1.1.1.414,1,0,1,100,1157,0,1157,100,236,1
1.1.1.42,44,28,16,36.36363636,30905,29399,1506,4.872997897,347,1
1.1.1.421,1,1,0,0,216,216,0,0,114,1
1.1.1.44,13,3,10,76.92307692,5090,2029,3061,60.13752456,319,1
1.1.1.47,13,0,13,100,721,0,721,100,230,1
1.1.1.48,1,0,1,100,129,0,129,100,59,1
1.1.1.49,22,3,19,86.36363636,9835,5136,4699,47.77834265,329,1
1.1.1.50,1,0,1,100,3,0,3,100,3,1
1.1.1.52,1,0,1,100,8,0,8,100,8,1
1.1.1.53,2,0,2,100,233,0,233,100,109,1
1.1.1.54,1,0,1,100,70,0,70,100,52,1
1.1.1.56,2,0,2,100,293,0,293,100,168,1
1.1.1.57,1,0,1,100,428,0,428,100,204,1
1.1.1.58,1,0,1,100,426,0,426,100,163,1
1.1.1.6,3,0,3,100,347,0,347,100,187,1
1.1.1.60,1,0,1,100,17,0,17,100,17,1
